count	tp	fp	tn	fn	case	gene
19	2	0	367	39	Guidance	or5
19	2	0	367	39	GuidanceP	or5
19	2	0	367	39	BMweights	or5
19	2	0	367	39	PDweights	or5
19	2	0	367	39	BMweightsP	or5
19	2	0	367	39	PDweightsP	or5
20	2	0	382	33	truealn	or5
20	1	0	382	34	refaln	or5
20	1	0	382	34	Guidance	or5
20	1	0	382	34	GuidanceP	or5
20	1	0	382	34	BMweights	or5
20	1	0	382	34	PDweights	or5
20	1	0	382	34	BMweightsP	or5
20	1	0	382	34	PDweightsP	or5
21	3	0	397	29	truealn	or5
21	3	1	396	29	refaln	or5
21	3	1	396	29	Guidance	or5
21	3	0	397	29	GuidanceP	or5
21	3	1	396	29	BMweights	or5
21	3	1	396	29	PDweights	or5
21	3	0	397	29	BMweightsP	or5
21	3	0	397	29	PDweightsP	or5
22	1	0	408	28	truealn	or5
22	1	0	408	28	refaln	or5
22	1	0	408	28	Guidance	or5
22	1	0	408	28	GuidanceP	or5
22	1	0	408	28	BMweights	or5
22	1	0	408	28	PDweights	or5
22	1	0	408	28	BMweightsP	or5
22	1	0	408	28	PDweightsP	or5
23	4	0	376	40	truealn	or5
23	4	1	375	40	refaln	or5
23	4	1	375	40	Guidance	or5
23	4	0	376	40	GuidanceP	or5
23	4	1	375	40	BMweights	or5
23	4	1	375	40	PDweights	or5
23	4	0	376	40	BMweightsP	or5
23	4	0	376	40	PDweightsP	or5
24	3	0	388	30	truealn	or5
24	1	0	388	32	refaln	or5
24	1	0	388	32	Guidance	or5
24	1	0	388	32	GuidanceP	or5
24	1	0	388	32	BMweights	or5
24	1	0	388	32	PDweights	or5
24	1	0	388	32	BMweightsP	or5
24	1	0	388	32	PDweightsP	or5
25	0	0	403	37	truealn	or5
25	0	0	403	37	refaln	or5
25	0	0	403	37	Guidance	or5
25	0	0	403	37	GuidanceP	or5
25	0	0	403	37	BMweights	or5
25	0	0	403	37	PDweights	or5
25	0	0	403	37	BMweightsP	or5
25	0	0	403	37	PDweightsP	or5
26	6	0	383	29	truealn	or5
26	5	0	383	30	refaln	or5
26	5	1	382	30	Guidance	or5
26	5	1	382	30	GuidanceP	or5
26	5	1	382	30	BMweights	or5
26	5	0	383	30	PDweights	or5
26	5	0	383	30	BMweightsP	or5
26	5	0	383	30	PDweightsP	or5
27	4	0	407	28	truealn	or5
27	3	0	407	29	refaln	or5
27	4	0	407	28	Guidance	or5
27	4	0	407	28	GuidanceP	or5
27	4	0	407	28	BMweights	or5
27	4	0	407	28	PDweights	or5
27	4	0	407	28	BMweightsP	or5
27	4	0	407	28	PDweightsP	or5
28	6	0	382	38	truealn	or5
28	7	0	382	37	refaln	or5
28	6	0	382	38	Guidance	or5
28	6	0	382	38	GuidanceP	or5
28	6	0	382	38	BMweights	or5
28	6	0	382	38	PDweights	or5
28	6	0	382	38	BMweightsP	or5
28	6	0	382	38	PDweightsP	or5
29	4	0	373	26	truealn	or5
29	2	0	373	28	refaln	or5
29	3	0	373	27	Guidance	or5
29	3	0	373	27	GuidanceP	or5
29	3	0	373	27	BMweights	or5
29	3	0	373	27	PDweights	or5
29	3	0	373	27	BMweightsP	or5
29	3	0	373	27	PDweightsP	or5
30	6	0	365	30	truealn	or5
30	5	0	365	31	refaln	or5
30	5	0	365	31	Guidance	or5
30	5	0	365	31	GuidanceP	or5
30	5	0	365	31	BMweights	or5
30	5	0	365	31	PDweights	or5
30	5	0	365	31	BMweightsP	or5
30	5	0	365	31	PDweightsP	or5
31	2	0	377	24	truealn	or5
31	2	0	377	24	refaln	or5
31	2	0	377	24	Guidance	or5
31	2	0	377	24	GuidanceP	or5
31	2	0	377	24	BMweights	or5
31	2	0	377	24	PDweights	or5
31	2	0	377	24	BMweightsP	or5
31	2	0	377	24	PDweightsP	or5
32	5	0	377	48	truealn	or5
32	5	0	377	48	refaln	or5
32	5	0	377	48	Guidance	or5
32	5	0	377	48	GuidanceP	or5
32	5	0	377	48	BMweights	or5
32	5	0	377	48	PDweights	or5
32	5	0	377	48	BMweightsP	or5
32	5	0	377	48	PDweightsP	or5
33	5	0	393	31	truealn	or5
33	5	0	393	31	refaln	or5
33	5	0	393	31	Guidance	or5
33	5	0	393	31	GuidanceP	or5
33	5	0	393	31	BMweights	or5
33	5	0	393	31	PDweights	or5
33	5	0	393	31	BMweightsP	or5
33	5	0	393	31	PDweightsP	or5
34	0	0	388	33	truealn	or5
34	0	0	388	33	refaln	or5
34	0	0	388	33	Guidance	or5
34	0	0	388	33	GuidanceP	or5
34	0	0	388	33	BMweights	or5
34	0	0	388	33	PDweights	or5
34	0	0	388	33	BMweightsP	or5
34	0	0	388	33	PDweightsP	or5
35	6	0	378	26	truealn	or5
35	6	0	378	26	refaln	or5
35	6	0	378	26	Guidance	or5
35	6	0	378	26	GuidanceP	or5
35	6	0	378	26	BMweights	or5
35	6	0	378	26	PDweights	or5
35	6	0	378	26	BMweightsP	or5
35	6	0	378	26	PDweightsP	or5
36	3	0	394	37	truealn	or5
36	1	0	394	39	refaln	or5
36	3	0	394	37	Guidance	or5
36	3	0	394	37	GuidanceP	or5
36	3	0	394	37	BMweights	or5
36	3	0	394	37	PDweights	or5
36	3	0	394	37	BMweightsP	or5
36	3	0	394	37	PDweightsP	or5
37	2	0	383	30	truealn	or5
37	2	0	383	30	refaln	or5
37	2	0	383	30	Guidance	or5
37	2	0	383	30	GuidanceP	or5
37	2	0	383	30	BMweights	or5
37	2	0	383	30	PDweights	or5
37	2	0	383	30	BMweightsP	or5
37	2	0	383	30	PDweightsP	or5
38	0	0	386	28	truealn	or5
38	0	1	385	28	refaln	or5
38	0	1	385	28	Guidance	or5
38	0	0	386	28	GuidanceP	or5
38	0	1	385	28	BMweights	or5
38	0	1	385	28	PDweights	or5
38	0	0	386	28	BMweightsP	or5
38	0	0	386	28	PDweightsP	or5
39	2	0	364	36	truealn	or5
39	2	0	364	36	refaln	or5
39	1	0	364	37	Guidance	or5
39	1	0	364	37	GuidanceP	or5
39	1	0	364	37	BMweights	or5
39	1	0	364	37	PDweights	or5
