count	cutoff	tprate	fprate	case	penal	gene	method
0	0.35	0.529411764706	0.0	GuidanceP	yes	prk	paml
0	0.36	0.529411764706	0.0	GuidanceP	yes	prk	paml
0	0.37	0.529411764706	0.0	GuidanceP	yes	prk	paml
0	0.38	0.529411764706	0.0	GuidanceP	yes	prk	paml
0	0.39	0.529411764706	0.0	GuidanceP	yes	prk	paml
0	0.4	0.529411764706	0.0	GuidanceP	yes	prk	paml
0	0.41	0.529411764706	0.0	GuidanceP	yes	prk	paml
0	0.42	0.529411764706	0.0	GuidanceP	yes	prk	paml
0	0.43	0.529411764706	0.0	GuidanceP	yes	prk	paml
0	0.44	0.529411764706	0.0	GuidanceP	yes	prk	paml
0	0.45	0.529411764706	0.0	GuidanceP	yes	prk	paml
0	0.46	0.529411764706	0.0	GuidanceP	yes	prk	paml
0	0.47	0.529411764706	0.0	GuidanceP	yes	prk	paml
0	0.48	0.529411764706	0.0	GuidanceP	yes	prk	paml
0	0.49	0.5	0.0	GuidanceP	yes	prk	paml
0	0.5	0.470588235294	0.0	GuidanceP	yes	prk	paml
0	0.51	0.441176470588	0.0	GuidanceP	yes	prk	paml
0	0.52	0.441176470588	0.0	GuidanceP	yes	prk	paml
0	0.53	0.441176470588	0.0	GuidanceP	yes	prk	paml
0	0.54	0.441176470588	0.0	GuidanceP	yes	prk	paml
0	0.55	0.441176470588	0.0	GuidanceP	yes	prk	paml
0	0.56	0.441176470588	0.0	GuidanceP	yes	prk	paml
0	0.57	0.441176470588	0.0	GuidanceP	yes	prk	paml
0	0.58	0.441176470588	0.0	GuidanceP	yes	prk	paml
0	0.59	0.441176470588	0.0	GuidanceP	yes	prk	paml
0	0.6	0.441176470588	0.0	GuidanceP	yes	prk	paml
0	0.61	0.411764705882	0.0	GuidanceP	yes	prk	paml
0	0.62	0.411764705882	0.0	GuidanceP	yes	prk	paml
0	0.63	0.411764705882	0.0	GuidanceP	yes	prk	paml
0	0.64	0.411764705882	0.0	GuidanceP	yes	prk	paml
0	0.65	0.411764705882	0.0	GuidanceP	yes	prk	paml
0	0.66	0.411764705882	0.0	GuidanceP	yes	prk	paml
0	0.67	0.411764705882	0.0	GuidanceP	yes	prk	paml
0	0.68	0.411764705882	0.0	GuidanceP	yes	prk	paml
