count	tprate	fprate		fnrate	accuracy	case	gene	mask	method	penal	num_masked	ave_masked	perc_masked	prior	omega
7	0.0847457627119	0.0	0.915254237288	0.746478873239	Guidance	or5	ninety	fubar	no	38	3.45454545455	0.00848782666964	0	0
7	0.0847457627119	0.0	0.915254237288	0.746478873239	GuidanceP	or5	ninety	fubar	yes	85	7.72727272727	0.0189859280768	0	0
7	0.0847457627119	0.0	0.915254237288	0.746478873239	Guidance	or5	thirty	fubar	no	38	3.45454545455	0.00848782666964	0	0
7	0.0847457627119	0.0	0.915254237288	0.746478873239	GuidanceP	or5	thirty	fubar	yes	85	7.72727272727	0.0189859280768	0	0
7	0.0847457627119	0.0	0.915254237288	0.746478873239	Guidance	or5	fifty	fubar	no	38	3.45454545455	0.00848782666964	0.16249681031	5.298587707
7	0.0847457627119	0.0	0.915254237288	0.746478873239	GuidanceP	or5	fifty	fubar	yes	85	7.72727272727	0.0189859280768	0.15975748825	5.61236117904
7	0.0847457627119	0.0	0.915254237288	0.746478873239	Guidance	or5	seventy	fubar	no	38	3.45454545455	0.00848782666964	0	0
7	0.0847457627119	0.0	0.915254237288	0.746478873239	GuidanceP	or5	seventy	fubar	yes	85	7.72727272727	0.0189859280768	0	0
7	0.0847457627119	0.0	0.915254237288	0.746478873239	BMweights	or5	fifty	fubar	no	38	3.45454545455	0.00848782666964	0.16612247904	5.44490370467
7	0.0847457627119	0.0	0.915254237288	0.746478873239	PDweights	or5	fifty	fubar	no	38	3.45454545455	0.00848782666964	0.16717101074	5.43528131908
7	0.0847457627119	0.0	0.915254237288	0.746478873239	BMweightsP	or5	fifty	fubar	yes	85	7.72727272727	0.0189859280768	0.1627805074	5.58480166508
7	0.0762711864407	0.0	0.923728813559	0.744131455399	PDweightsP	or5	fifty	fubar	yes	125	11.3636363636	0.0279204824659	0.16113248278	5.49584302646
8	0.027397260274	0.0	0.972602739726	0.714859437751	truealn	or5	true	fubar	true	0	0	0	0
8	0.0241935483871	0.0	0.975806451613	0.719907407407	refaln	or5	zero	fubar	zero	0	0	0	0.14499464848	4.72946027432
8	0.0241935483871	0.0	0.975806451613	0.719907407407	Guidance	or5	ninety	fubar	no	72	6.54545454545	0.0158520475561	0	0
8	0.0241935483871	0.0	0.975806451613	0.719907407407	GuidanceP	or5	ninety	fubar	yes	118	10.7272727273	0.0259797446059	0	0
8	0.0241935483871	0.0	0.975806451613	0.719907407407	Guidance	or5	thirty	fubar	no	72	6.54545454545	0.0158520475561	0	0
8	0.0241935483871	0.0	0.975806451613	0.719907407407	GuidanceP	or5	thirty	fubar	yes	118	10.7272727273	0.0259797446059	0	0
8	0.0241935483871	0.0	0.975806451613	0.719907407407	Guidance	or5	fifty	fubar	no	72	6.54545454545	0.0158520475561	0.14222391018	4.93177908887
8	0.0241935483871	0.0	0.975806451613	0.719907407407	GuidanceP	or5	fifty	fubar	yes	118	10.7272727273	0.0259797446059	0.14365658541	5.08217798585
8	0.0241935483871	0.0	0.975806451613	0.719907407407	Guidance	or5	seventy	fubar	no	72	6.54545454545	0.0158520475561	0	0
8	0.0241935483871	0.0	0.975806451613	0.719907407407	GuidanceP	or5	seventy	fubar	yes	118	10.7272727273	0.0259797446059	0	0
8	0.0241935483871	0.0	0.975806451613	0.719907407407	BMweights	or5	fifty	fubar	no	72	6.54545454545	0.0158520475561	0.13796524533	5.2090921982
8	0.0241935483871	0.0	0.975806451613	0.719907407407	PDweights	or5	fifty	fubar	no	72	6.54545454545	0.0158520475561	0.13988982026	5.32121034644
8	0.0241935483871	0.0	0.975806451613	0.719907407407	BMweightsP	or5	fifty	fubar	yes	118	10.7272727273	0.0259797446059	0.14952064622	4.92355865001
8	0.0241935483871	0.0	0.975806451613	0.719907407407	PDweightsP	or5	fifty	fubar	yes	196	17.8181818182	0.0431527961251	0.14549712419	5.18345940797
9	0.029197080292	0.0	0.970802919708	0.712121212121	truealn	or5	true	fubar	true	0	0	0	0
9	0.0238095238095	0.0	0.97619047619	0.705035971223	refaln	or5	zero	fubar	zero	0	0	0	0.14034253005	5.39150050814
9	0.0238095238095	0.0	0.97619047619	0.705035971223	Guidance	or5	ninety	fubar	no	51	4.63636363636	0.0123277737491	0	0
9	0.0238095238095	0.0	0.97619047619	0.705035971223	GuidanceP	or5	ninety	fubar	yes	158	14.3636363636	0.0381919265168	0	0
9	0.0238095238095	0.0	0.97619047619	0.705035971223	Guidance	or5	thirty	fubar	no	51	4.63636363636	0.0123277737491	0	0
9	0.0238095238095	0.0	0.97619047619	0.705035971223	GuidanceP	or5	thirty	fubar	yes	158	14.3636363636	0.0381919265168	0	0
9	0.0238095238095	0.0	0.97619047619	0.705035971223	Guidance	or5	fifty	fubar	no	51	4.63636363636	0.0123277737491	0.13496435406	5.59268298739
9	0.0238095238095	0.0	0.97619047619	0.705035971223	GuidanceP	or5	fifty	fubar	yes	158	14.3636363636	0.0381919265168	0.14250661093	5.54090787603
9	0.0238095238095	0.0	0.97619047619	0.705035971223	Guidance	or5	seventy	fubar	no	51	4.63636363636	0.0123277737491	0	0
9	0.0238095238095	0.0	0.97619047619	0.705035971223	GuidanceP	or5	seventy	fubar	yes	158	14.3636363636	0.0381919265168	0	0
9	0.0238095238095	0.0	0.97619047619	0.705035971223	BMweights	or5	fifty	fubar	no	51	4.63636363636	0.0123277737491	0.14507523294	5.20575281129
9	0.0238095238095	0.0	0.97619047619	0.705035971223	PDweights	or5	fifty	fubar	no	51	4.63636363636	0.0123277737491	0.1298851614	5.75472097263
9	0.0238095238095	0.0	0.97619047619	0.705035971223	BMweightsP	or5	fifty	fubar	yes	158	14.3636363636	0.0381919265168	0.13617585184	5.52999065151
9	0.0238095238095	0.0	0.97619047619	0.705035971223	PDweightsP	or5	fifty	fubar	yes	194	17.6363636364	0.0468938844573	0.1410478848	5.64181171005
10	0.0507246376812	0.0	0.949275362319	0.733739837398	truealn	or5	true	fubar	true	0	0	0	0
10	0.0423728813559	0.00327868852459	0.957627118644	0.730496453901	refaln	or5	zero	fubar	zero	0	0	0	0.17054839657	4.72933147907
10	0.0423728813559	0.00327868852459	0.957627118644	0.730496453901	Guidance	or5	ninety	fubar	no	89	8.09090909091	0.0201631173539	0	0
10	0.0423728813559	0.00327868852459	0.957627118644	0.730496453901	GuidanceP	or5	ninety	fubar	yes	141	12.8181818182	0.0319438151337	0	0
10	0.0423728813559	0.00327868852459	0.957627118644	0.730496453901	Guidance	or5	thirty	fubar	no	89	8.09090909091	0.0201631173539	0	0
10	0.0423728813559	0.00327868852459	0.957627118644	0.730496453901	GuidanceP	or5	thirty	fubar	yes	141	12.8181818182	0.0319438151337	0	0
10	0.0423728813559	0.00327868852459	0.957627118644	0.730496453901	Guidance	or5	fifty	fubar	no	89	8.09090909091	0.0201631173539	0.16579106784	4.96081705283
10	0.0423728813559	0.00327868852459	0.957627118644	0.730496453901	GuidanceP	or5	fifty	fubar	yes	141	12.8181818182	0.0319438151337	0.16170884644	4.89861535049
10	0.0423728813559	0.00327868852459	0.957627118644	0.730496453901	Guidance	or5	seventy	fubar	no	89	8.09090909091	0.0201631173539	0	0
10	0.0423728813559	0.00327868852459	0.957627118644	0.730496453901	GuidanceP	or5	seventy	fubar	yes	141	12.8181818182	0.0319438151337	0	0
10	0.0423728813559	0.00327868852459	0.957627118644	0.730496453901	BMweights	or5	fifty	fubar	no	89	8.09090909091	0.0201631173539	0.16305779282	4.96858961853
10	0.0423728813559	0.00327868852459	0.957627118644	0.730496453901	PDweights	or5	fifty	fubar	no	94	8.54545454545	0.0212958767558	0.16762047421	4.98523668306
10	0.0423728813559	0.00327868852459	0.957627118644	0.730496453901	BMweightsP	or5	fifty	fubar	yes	141	12.8181818182	0.0319438151337	0.16255051532	5.24207157643
10	0.0423728813559	0.00327868852459	0.957627118644	0.730496453901	PDweightsP	or5	fifty	fubar	yes	161	14.6363636364	0.0364748527413	0.15903789629	5.09815374198
11	0.0512820512821	0.0	0.948717948718	0.767782426778	truealn	or5	true	fubar	true	0	0	0	0
11	0.045045045045	0.0	0.954954954955	0.769565217391	refaln	or5	zero	fubar	zero	0	0	0	0.14942203744	5.24551421903
11	0.045045045045	0.0	0.954954954955	0.769565217391	Guidance	or5	ninety	fubar	no	61	5.54545454545	0.0135645986213	0	0
11	0.045045045045	0.0	0.954954954955	0.769565217391	GuidanceP	or5	ninety	fubar	yes	75	6.81818181818	0.0166777851901	0	0
11	0.045045045045	0.0	0.954954954955	0.769565217391	Guidance	or5	thirty	fubar	no	61	5.54545454545	0.0135645986213	0	0
11	0.045045045045	0.0	0.954954954955	0.769565217391	GuidanceP	or5	thirty	fubar	yes	75	6.81818181818	0.0166777851901	0	0
11	0.045045045045	0.0	0.954954954955	0.769565217391	Guidance	or5	fifty	fubar	no	61	5.54545454545	0.0135645986213	0.14513018721	5.37632927849
11	0.045045045045	0.0	0.954954954955	0.769565217391	GuidanceP	or5	fifty	fubar	yes	75	6.81818181818	0.0166777851901	0.15011080293	5.21070339597
11	0.045045045045	0.0	0.954954954955	0.769565217391	Guidance	or5	seventy	fubar	no	61	5.54545454545	0.0135645986213	0	0
11	0.045045045045	0.0	0.954954954955	0.769565217391	GuidanceP	or5	seventy	fubar	yes	75	6.81818181818	0.0166777851901	0	0
11	0.036036036036	0.0	0.963963963964	0.767391304348	BMweights	or5	fifty	fubar	no	61	5.54545454545	0.0135645986213	0.14755822979	5.32448163201
11	0.045045045045	0.0	0.954954954955	0.769565217391	PDweights	or5	fifty	fubar	no	61	5.54545454545	0.0135645986213	0.14908401677	5.3518587923
11	0.045045045045	0.0	0.954954954955	0.769565217391	BMweightsP	or5	fifty	fubar	yes	75	6.81818181818	0.0166777851901	0.14841943322	5.32839513551
11	0.036036036036	0.0	0.963963963964	0.767391304348	PDweightsP	or5	fifty	fubar	yes	75	6.81818181818	0.0166777851901	0.14802060688	5.40107044067
12	0.0569105691057	0.0	0.943089430894	0.748373101952	truealn	or5	true	fubar	true	0	0	0	0
12	0.036036036036	0.0	0.963963963964	0.748235294118	refaln	or5	zero	fubar	zero	0	0	0	0.149666227	5.59198210303
12	0.036036036036	0.0	0.963963963964	0.748235294118	Guidance	or5	ninety	fubar	no	22	2.0	0.00498301245753	0	0
12	0.045045045045	0.0	0.954954954955	0.750588235294	GuidanceP	or5	ninety	fubar	yes	135	12.2727272727	0.0305775764439	0	0
12	0.036036036036	0.0	0.963963963964	0.748235294118	Guidance	or5	thirty	fubar	no	22	2.0	0.00498301245753	0	0
12	0.045045045045	0.0	0.954954954955	0.750588235294	GuidanceP	or5	thirty	fubar	yes	135	12.2727272727	0.0305775764439	0	0
12	0.036036036036	0.0	0.963963963964	0.748235294118	Guidance	or5	fifty	fubar	no	22	2.0	0.00498301245753	0.1504058213	5.40902425467
12	0.045045045045	0.0	0.954954954955	0.750588235294	GuidanceP	or5	fifty	fubar	yes	135	12.2727272727	0.0305775764439	0.15308299608	5.05568262353
12	0.036036036036	0.0	0.963963963964	0.748235294118	Guidance	or5	seventy	fubar	no	22	2.0	0.00498301245753	0	0
12	0.045045045045	0.0	0.954954954955	0.750588235294	GuidanceP	or5	seventy	fubar	yes	135	12.2727272727	0.0305775764439	0	0
12	0.036036036036	0.0	0.963963963964	0.748235294118	BMweights	or5	fifty	fubar	no	22	2.0	0.00498301245753	0.1523635285	5.44882315149
12	0.036036036036	0.0	0.963963963964	0.748235294118	PDweights	or5	fifty	fubar	no	22	2.0	0.00498301245753	0.152914088	5.3393065135
12	0.045045045045	0.0	0.954954954955	0.750588235294	BMweightsP	or5	fifty	fubar	yes	135	12.2727272727	0.0305775764439	0.15340304371	4.98294216179
12	0.045045045045	0.0	0.954954954955	0.750588235294	PDweightsP	or5	fifty	fubar	yes	144	13.0909090909	0.0326160815402	0.1483552926	5.22917918578
13	0.0330578512397	0.0	0.96694214876	0.753164556962	truealn	or5	true	fubar	true	0	0	0	0
13	0.0363636363636	0.0	0.963636363636	0.750588235294	refaln	or5	zero	fubar	zero	0	0	0	0.1879697244	4.57140842855
13	0.0363636363636	0.0	0.963636363636	0.750588235294	Guidance	or5	ninety	fubar	no	53	4.81818181818	0.0116228070175	0	0
13	0.0363636363636	0.0	0.963636363636	0.750588235294	GuidanceP	or5	ninety	fubar	yes	76	6.90909090909	0.0166666666667	0	0
13	0.0363636363636	0.0	0.963636363636	0.750588235294	Guidance	or5	thirty	fubar	no	53	4.81818181818	0.0116228070175	0	0
13	0.0363636363636	0.0	0.963636363636	0.750588235294	GuidanceP	or5	thirty	fubar	yes	76	6.90909090909	0.0166666666667	0	0
13	0.0363636363636	0.0	0.963636363636	0.750588235294	Guidance	or5	fifty	fubar	no	53	4.81818181818	0.0116228070175	0.1915439742	4.59442472102
13	0.0363636363636	0.0	0.963636363636	0.750588235294	GuidanceP	or5	fifty	fubar	yes	76	6.90909090909	0.0166666666667	0.18837707161	4.52137312304
13	0.0363636363636	0.0	0.963636363636	0.750588235294	Guidance	or5	seventy	fubar	no	53	4.81818181818	0.0116228070175	0	0
13	0.0363636363636	0.0	0.963636363636	0.750588235294	GuidanceP	or5	seventy	fubar	yes	76	6.90909090909	0.0166666666667	0	0
13	0.0363636363636	0.0	0.963636363636	0.750588235294	BMweights	or5	fifty	fubar	no	53	4.81818181818	0.0116228070175	0.19303021004	4.56104010595
13	0.0363636363636	0.0	0.963636363636	0.750588235294	PDweights	or5	fifty	fubar	no	53	4.81818181818	0.0116228070175	0.19077345998	4.55188815584
13	0.0363636363636	0.0	0.963636363636	0.750588235294	BMweightsP	or5	fifty	fubar	yes	76	6.90909090909	0.0166666666667	0.19641934732	4.59392652473
